Umur,Jenis_Kelamin,Penghasilan,Pendidikan,Frekuensi_Liburan,Preferensi_Aktivitas,Anggaran_Liburan,Lokasi,Jarak_ke_Gunung,Jarak_ke_Pantai,Musim_Favorit,Hewan_Peliharaan,Sensitivitas_Lingkungan,Preferensi_Liburan
22,Non-Biner,100773,Magister,0,Mendaki Gunung,1235,Perkotaan,37,198,Panas,1,0,Gunung
64,Laki-Laki,51021,Magister,7,Renang,647,Perkotaan,214,87,Semi,1,0,Pantai
42,Laki-Laki,89193,Sarjana,9,Berjemur,666,Pedesaan,299,16,Gugur,1,0,Pantai
19,Laki-Laki,47683,Doktor,6,Mendaki Gunung,674,Perkotaan,56,103,Gugur,1,1,Gunung
27,Perempuan,114342,SMA/Setingkat,9,Berjemur,1339,Pedesaan,234,157,Dingin,0,0,Pantai
47,Non-Biner,34214,SMA/Setingkat,3,Renang,954,Perkotaan,146,251,Semi,0,0,Pantai
67,Laki-Laki,64316,SMA/Setingkat,0,Renang,1699,Perkotaan,176,17,Gugur,0,1,Pantai
62,Perempuan,26720,Sarjana,6,Berjemur,4165,Perkotaan,267,279,Gugur,0,1,Pantai
22,Laki-Laki,56130,Magister,2,Renang,2645,Perkotaan,163,36,Gugur,1,1,Pantai
50,Perempuan,77582,SMA/Setingkat,7,Mendaki Gunung,2386,Pinggiran Kota,296,33,Gugur,0,0,Pantai
18,Non-Biner,20696,Magister,9,Renang,3552,Pedesaan,160,104,Semi,1,1,Pantai
35,Laki-Laki,87612,Sarjana,5,Berjemur,2912,Pedesaan,238,55,Panas,1,1,Pantai
49,Non-Biner,109893,Magister,6,Mendaki Gunung,3408,Pedesaan,287,272,Dingin,1,1,Pantai
64,Laki-Laki,95251,Sarjana,9,Mendaki Gunung,4321,Pinggiran Kota,204,197,Panas,1,1,Pantai
66,Perempuan,38663,Magister,4,Ski,637,Pedesaan,169,243,Panas,1,1,Gunung
28,Non-Biner,74155,Sarjana,7,Ski,1165,Pinggiran Kota,243,145,Semi,1,0,Pantai
38,Laki-Laki,35190,Magister,2,Ski,2614,Pedesaan,214,97,Dingin,1,1,Pantai
43,Laki-Laki,59533,SMA/Setingkat,1,Renang,3738,Pedesaan,118,88,Semi,1,1,Pantai
42,Non-Biner,49263,SMA/Setingkat,0,Berjemur,2978,Pedesaan,224,43,Panas,0,0,Pantai
39,Perempuan,70873,Sarjana,9,Berjemur,2602,Perkotaan,160,203,Dingin,1,1,Pantai
44,Non-Biner,21869,Magister,3,Mendaki Gunung,2964,Perkotaan,67,129,Dingin,0,1,Gunung
66,Laki-Laki,110447,Sarjana,4,Berjemur,2012,Pinggiran Kota,296,132,Dingin,0,1,Pantai
30,Non-Biner,92069,SMA/Setingkat,7,Berjemur,2539,Perkotaan,39,297,Gugur,1,1,Pantai
50,Non-Biner,64579,Magister,2,Renang,3050,Perkotaan,121,145,Dingin,0,0,Pantai
51,Perempuan,54867,Sarjana,5,Renang,3033,Pedesaan,158,77,Dingin,1,0,Pantai
58,Perempuan,105847,SMA/Setingkat,7,Ski,628,Pinggiran Kota,70,75,Semi,1,0,Gunung
52,Non-Biner,29586,SMA/Setingkat,8,Renang,1646,Pedesaan,63,284,Dingin,1,1,Pantai
18,Perempuan,89402,Doktor,5,Berjemur,1698,Pedesaan,158,191,Semi,1,1,Pantai
38,Perempuan,73415,Doktor,6,Renang,1870,Perkotaan,67,216,Panas,0,0,Pantai
65,Laki-Laki,104899,SMA/Setingkat,6,Renang,1193,Perkotaan,84,282,Panas,0,0,Pantai
23,Perempuan,72155,Doktor,2,Ski,1805,Perkotaan,23,200,Gugur,1,1,Gunung
45,Non-Biner,73020,Sarjana,8,Ski,1560,Pinggiran Kota,171,25,Panas,1,0,Pantai
34,Non-Biner,22562,Doktor,9,Berjemur,2212,Pinggiran Kota,177,258,Panas,1,1,Pantai
22,Laki-Laki,37036,Magister,2,Berjemur,4403,Pinggiran Kota,232,259,Gugur,0,1,Pantai
48,Laki-Laki,101219,Sarjana,5,Ski,947,Pinggiran Kota,91,69,Dingin,0,0,Pantai
22,Laki-Laki,71199,Doktor,7,Renang,1448,Pinggiran Kota,221,147,Semi,1,1,Pantai
55,Non-Biner,109226,Doktor,9,Ski,1619,Pedesaan,104,282,Gugur,1,1,Gunung
20,Non-Biner,104399,Magister,9,Ski,4537,Pinggiran Kota,113,45,Dingin,0,0,Pantai
40,Perempuan,94555,Sarjana,0,Berjemur,2858,Pinggiran Kota,99,268,Dingin,0,1,Pantai
54,Laki-Laki,24097,Sarjana,6,Renang,3498,Perkotaan,33,172,Dingin,1,0,Pantai
54,Perempuan,103822,Sarjana,5,Ski,1299,Pinggiran Kota,188,213,Dingin,1,1,Gunung
27,Perempuan,32044,Magister,3,Mendaki Gunung,2130,Pedesaan,113,153,Semi,0,1,Gunung
27,Non-Biner,30786,Doktor,4,Berjemur,2495,Perkotaan,174,122,Semi,0,1,Pantai
36,Perempuan,106834,Sarjana,1,Mendaki Gunung,2086,Pedesaan,168,115,Gugur,1,1,Pantai
34,Laki-Laki,60683,Magister,7,Renang,2612,Perkotaan,169,8,Panas,0,0,Pantai
38,Laki-Laki,57488,Magister,7,Renang,4485,Perkotaan,261,268,Semi,0,0,Pantai
31,Non-Biner,79447,SMA/Setingkat,8,Ski,2756,Perkotaan,165,150,Semi,0,0,Pantai
26,Non-Biner,114247,Magister,1,Mendaki Gunung,629,Pedesaan,31,135,Gugur,1,0,Gunung
63,Non-Biner,102424,SMA/Setingkat,4,Ski,814,Pedesaan,198,193,Dingin,0,1,Pantai
18,Laki-Laki,106988,SMA/Setingkat,6,Ski,2540,Pedesaan,1,179,Gugur,0,1,Gunung
68,Non-Biner,56788,SMA/Setingkat,9,Renang,3751,Perkotaan,11,128,Dingin,0,0,Pantai
62,Laki-Laki,97427,Doktor,2,Berjemur,3763,Pedesaan,108,142,Panas,0,1,Pantai
30,Perempuan,45896,Sarjana,9,Ski,2015,Perkotaan,129,99,Semi,1,0,Pantai
21,Non-Biner,49587,Doktor,3,Berjemur,4897,Pedesaan,196,151,Gugur,0,1,Pantai
18,Non-Biner,108487,Doktor,2,Mendaki Gunung,3087,Pinggiran Kota,137,131,Gugur,0,1,Pantai
66,Non-Biner,87132,Magister,3,Ski,4086,Pinggiran Kota,164,167,Gugur,1,1,Gunung
57,Laki-Laki,58860,Doktor,6,Berjemur,3254,Pedesaan,156,133,Dingin,1,0,Pantai
49,Perempuan,22322,SMA/Setingkat,7,Berjemur,4757,Pinggiran Kota,206,172,Panas,1,0,Pantai
51,Non-Biner,92732,Doktor,5,Mendaki Gunung,2083,Pinggiran Kota,291,39,Semi,0,0,Pantai
45,Perempuan,80599,Magister,8,Renang,1421,Perkotaan,82,201,Semi,0,1,Pantai
48,Non-Biner,93242,Sarjana,4,Berjemur,4224,Pinggiran Kota,255,153,Dingin,0,0,Pantai
25,Laki-Laki,47047,SMA/Setingkat,9,Ski,780,Perkotaan,83,208,Panas,1,1,Gunung
56,Perempuan,85126,SMA/Setingkat,1,Mendaki Gunung,3114,Perkotaan,206,141,Panas,1,1,Pantai
43,Perempuan,65504,SMA/Setingkat,0,Mendaki Gunung,3509,Pedesaan,108,28,Panas,1,1,Pantai
51,Non-Biner,25197,Doktor,6,Ski,2385,Pedesaan,291,284,Dingin,1,0,Pantai
20,Perempuan,71719,SMA/Setingkat,0,Berjemur,2881,Pedesaan,195,4,Panas,1,1,Pantai
67,Laki-Laki,34048,SMA/Setingkat,1,Berjemur,1611,Pinggiran Kota,243,153,Panas,0,0,Pantai
29,Perempuan,67070,Sarjana,5,Mendaki Gunung,2320,Perkotaan,76,177,Gugur,1,1,Gunung
18,Perempuan,111037,SMA/Setingkat,7,Ski,3734,Pinggiran Kota,156,12,Gugur,0,0,Pantai
61,Perempuan,61624,Doktor,9,Renang,3505,Pedesaan,145,230,Gugur,0,1,Pantai
22,Perempuan,51280,SMA/Setingkat,7,Ski,4321,Pedesaan,177,289,Dingin,1,0,Gunung
47,Non-Biner,34068,SMA/Setingkat,7,Mendaki Gunung,3039,Pedesaan,54,185,Dingin,0,0,Gunung
47,Non-Biner,80983,Doktor,6,Ski,3973,Pedesaan,0,29,Dingin,0,1,Gunung
34,Perempuan,105278,SMA/Setingkat,1,Mendaki Gunung,4630,Pedesaan,103,266,Semi,1,1,Gunung
65,Perempuan,76546,Sarjana,2,Ski,4139,Perkotaan,165,230,Gugur,1,1,Gunung
64,Laki-Laki,85851,Magister,4,Ski,2772,Pedesaan,286,93,Dingin,0,0,Pantai
40,Non-Biner,25332,Sarjana,3,Renang,1745,Pedesaan,108,279,Semi,0,1,Pantai
32,Non-Biner,93377,Sarjana,1,Renang,2787,Perkotaan,209,116,Panas,0,0,Pantai
54,Non-Biner,74994,Sarjana,5,Mendaki Gunung,3138,Pedesaan,53,76,Dingin,1,1,Gunung
38,Perempuan,113678,SMA/Setingkat,8,Mendaki Gunung,4453,Perkotaan,256,213,Semi,1,0,Pantai
31,Non-Biner,70821,Magister,2,Renang,1155,Pinggiran Kota,91,210,Dingin,1,1,Pantai
19,Laki-Laki,105335,SMA/Setingkat,8,Renang,3992,Pedesaan,189,58,Panas,1,1,Pantai
28,Laki-Laki,90781,Doktor,6,Mendaki Gunung,3848,Pedesaan,241,276,Dingin,0,0,Gunung
68,Laki-Laki,70693,SMA/Setingkat,4,Renang,1919,Pedesaan,69,195,Dingin,0,1,Pantai
56,Laki-Laki,35454,Sarjana,4,Ski,1338,Perkotaan,227,16,Gugur,0,1,Pantai
55,Laki-Laki,24254,SMA/Setingkat,7,Ski,1191,Perkotaan,198,28,Gugur,1,0,Pantai
51,Non-Biner,29803,Sarjana,7,Berjemur,1349,Pinggiran Kota,240,225,Gugur,0,1,Pantai
55,Perempuan,40615,Magister,2,Mendaki Gunung,1820,Pedesaan,33,284,Semi,1,0,Gunung
67,Perempuan,104202,Magister,1,Mendaki Gunung,3094,Pedesaan,174,129,Panas,1,0,Pantai
51,Perempuan,106778,Doktor,7,Mendaki Gunung,2172,Perkotaan,288,165,Semi,0,0,Pantai
35,Perempuan,110393,Magister,5,Mendaki Gunung,3411,Pinggiran Kota,194,283,Panas,0,0,Gunung
47,Non-Biner,63468,Magister,1,Ski,2785,Pedesaan,24,154,Gugur,1,0,Gunung
32,Non-Biner,26327,Magister,1,Mendaki Gunung,1118,Pedesaan,103,228,Panas,0,0,Gunung
44,Non-Biner,30361,Sarjana,0,Renang,983,Perkotaan,95,226,Semi,1,1,Pantai
68,Laki-Laki,75436,Magister,0,Ski,2723,Perkotaan,206,188,Panas,0,0,Pantai
51,Perempuan,112717,Doktor,4,Berjemur,3554,Pinggiran Kota,217,58,Semi,1,1,Pantai
69,Non-Biner,53973,SMA/Setingkat,8,Renang,522,Perkotaan,186,211,Gugur,1,1,Pantai
55,Non-Biner,26920,Doktor,5,Mendaki Gunung,3190,Perkotaan,233,106,Gugur,0,0,Pantai
50,Non-Biner,92023,Magister,5,Ski,3670,Perkotaan,155,258,Semi,1,0,Gunung
41,Perempuan,76578,Sarjana,7,Renang,2653,Pedesaan,99,163,Panas,0,0,Pantai
32,Perempuan,96694,Magister,2,Berjemur,1601,Pedesaan,56,72,Panas,1,0,Pantai
47,Laki-Laki,104520,Magister,2,Berjemur,2301,Pedesaan,2,47,Semi,0,0,Pantai
59,Laki-Laki,40907,SMA/Setingkat,8,Ski,651,Pinggiran Kota,51,271,Gugur,1,0,Gunung
68,Laki-Laki,53290,Sarjana,7,Renang,3106,Pinggiran Kota,233,107,Gugur,1,1,Pantai
34,Perempuan,32946,Magister,7,Ski,3521,Pinggiran Kota,252,35,Dingin,1,1,Pantai
22,Laki-Laki,26586,Sarjana,2,Mendaki Gunung,2566,Pinggiran Kota,160,159,Dingin,1,1,Pantai
46,Laki-Laki,89704,SMA/Setingkat,9,Berjemur,3320,Perkotaan,23,4,Dingin,1,0,Pantai
21,Non-Biner,33476,Sarjana,5,Berjemur,4812,Pedesaan,151,295,Panas,0,0,Pantai
27,Perempuan,64169,SMA/Setingkat,0,Ski,4066,Pinggiran Kota,192,15,Dingin,0,1,Pantai
34,Laki-Laki,101224,Magister,5,Renang,4406,Pinggiran Kota,285,151,Dingin,1,1,Pantai
27,Laki-Laki,42220,Magister,0,Ski,2960,Pinggiran Kota,138,159,Dingin,0,0,Gunung
34,Perempuan,60875,SMA/Setingkat,8,Berjemur,824,Perkotaan,164,4,Dingin,1,0,Pantai
37,Laki-Laki,83836,Sarjana,3,Mendaki Gunung,3387,Perkotaan,83,217,Dingin,1,1,Gunung
41,Perempuan,87182,Doktor,3,Mendaki Gunung,4588,Pinggiran Kota,110,214,Semi,0,0,Gunung
22,Perempuan,102556,Sarjana,8,Berjemur,2620,Pedesaan,22,125,Panas,1,0,Pantai
51,Perempuan,112795,Magister,3,Mendaki Gunung,2787,Pinggiran Kota,229,36,Panas,0,1,Pantai
23,Laki-Laki,27436,Magister,1,Renang,4312,Perkotaan,99,258,Gugur,0,1,Pantai
19,Laki-Laki,105115,Doktor,5,Berjemur,3251,Pinggiran Kota,255,154,Panas,1,1,Pantai
30,Laki-Laki,26891,Sarjana,2,Ski,2257,Perkotaan,143,60,Semi,1,1,Pantai
60,Perempuan,45406,Magister,4,Renang,1590,Pedesaan,44,9,Dingin,0,0,Pantai
60,Laki-Laki,57517,Sarjana,6,Ski,2679,Pedesaan,114,221,Semi,1,0,Gunung
65,Non-Biner,64744,Magister,9,Renang,860,Perkotaan,133,283,Panas,1,1,Pantai
28,Perempuan,65138,SMA/Setingkat,1,Renang,4780,Pinggiran Kota,52,226,Dingin,1,0,Pantai
68,Laki-Laki,77716,Sarjana,8,Renang,3615,Pedesaan,273,77,Dingin,0,1,Pantai
64,Perempuan,46109,Doktor,4,Renang,1356,Perkotaan,132,186,Panas,0,1,Pantai
40,Laki-Laki,26983,Doktor,2,Mendaki Gunung,4945,Perkotaan,285,238,Gugur,1,0,Pantai
33,Perempuan,29041,SMA/Setingkat,0,Renang,2135,Pedesaan,132,163,Panas,1,1,Pantai
48,Non-Biner,24387,Sarjana,1,Berjemur,857,Perkotaan,290,248,Gugur,0,0,Pantai
28,Perempuan,66088,SMA/Setingkat,2,Ski,2698,Perkotaan,31,265,Panas,1,1,Gunung
33,Perempuan,30959,SMA/Setingkat,7,Berjemur,3414,Perkotaan,68,156,Semi,0,1,Pantai
25,Perempuan,20772,Magister,9,Mendaki Gunung,2868,Perkotaan,238,154,Dingin,1,1,Pantai
21,Laki-Laki,109842,Doktor,2,Ski,3293,Pinggiran Kota,182,11,Gugur,1,0,Pantai
57,Perempuan,100526,Doktor,7,Mendaki Gunung,4807,Pedesaan,81,252,Panas,1,0,Gunung
21,Laki-Laki,84407,Sarjana,2,Ski,3583,Pedesaan,38,116,Gugur,1,1,Gunung
42,Perempuan,57374,Magister,7,Ski,1903,Perkotaan,18,147,Panas,1,1,Gunung
20,Laki-Laki,29279,Sarjana,4,Renang,1514,Pedesaan,109,256,Gugur,1,0,Pantai
49,Laki-Laki,29195,SMA/Setingkat,7,Mendaki Gunung,4652,Perkotaan,21,274,Panas,1,1,Gunung
20,Laki-Laki,52408,Sarjana,6,Renang,860,Pedesaan,180,24,Semi,1,1,Pantai
44,Laki-Laki,60655,Magister,5,Mendaki Gunung,2335,Pedesaan,157,139,Dingin,1,0,Pantai
46,Perempuan,43921,Doktor,1,Berjemur,3509,Pinggiran Kota,108,99,Gugur,0,0,Pantai
49,Perempuan,59631,Magister,8,Mendaki Gunung,2316,Pedesaan,80,68,Panas,0,0,Pantai
67,Laki-Laki,68352,Sarjana,6,Mendaki Gunung,2442,Perkotaan,145,35,Dingin,1,1,Pantai
68,Laki-Laki,102363,Doktor,8,Mendaki Gunung,3047,Perkotaan,38,62,Semi,1,0,Gunung
36,Laki-Laki,41878,SMA/Setingkat,5,Ski,1510,Pedesaan,34,281,Dingin,0,0,Gunung
38,Non-Biner,116401,Doktor,8,Renang,638,Pedesaan,213,100,Semi,0,1,Pantai
22,Non-Biner,63135,Doktor,1,Renang,2682,Pinggiran Kota,273,211,Gugur,0,0,Pantai
35,Perempuan,96549,Magister,3,Berjemur,508,Pedesaan,105,159,Gugur,0,0,Pantai
45,Non-Biner,80016,Sarjana,3,Renang,1354,Pedesaan,237,227,Dingin,1,1,Pantai
59,Non-Biner,53035,SMA/Setingkat,8,Berjemur,3939,Pedesaan,78,253,Panas,0,0,Pantai
39,Laki-Laki,52107,Magister,0,Berjemur,2789,Pedesaan,223,0,Dingin,1,1,Pantai
38,Laki-Laki,60608,Magister,7,Mendaki Gunung,3267,Pedesaan,105,231,Panas,1,1,Gunung
23,Non-Biner,37889,SMA/Setingkat,8,Renang,4207,Pedesaan,109,197,Dingin,0,0,Pantai
18,Non-Biner,73012,Sarjana,8,Berjemur,3281,Perkotaan,207,210,Dingin,1,1,Pantai
22,Non-Biner,91673,SMA/Setingkat,5,Ski,1987,Pedesaan,284,39,Dingin,1,1,Pantai
58,Laki-Laki,31961,SMA/Setingkat,5,Ski,2143,Perkotaan,29,283,Semi,0,1,Gunung
29,Perempuan,58097,Doktor,0,Mendaki Gunung,1232,Pedesaan,170,292,Panas,0,0,Gunung
43,Non-Biner,85065,SMA/Setingkat,5,Renang,2387,Pedesaan,8,174,Semi,0,1,Pantai
63,Perempuan,64253,Doktor,8,Ski,1399,Pinggiran Kota,294,212,Dingin,0,1,Pantai
51,Perempuan,37666,Sarjana,0,Ski,1873,Pinggiran Kota,241,45,Dingin,0,0,Pantai
66,Non-Biner,112088,Sarjana,1,Mendaki Gunung,1052,Pedesaan,252,37,Panas,1,0,Pantai
31,Perempuan,86612,Sarjana,4,Ski,4678,Perkotaan,221,97,Dingin,0,1,Pantai
43,Laki-Laki,82525,SMA/Setingkat,6,Ski,4871,Perkotaan,237,19,Panas,0,1,Pantai
62,Non-Biner,45484,Doktor,1,Renang,2926,Pedesaan,261,110,Dingin,0,1,Pantai
44,Non-Biner,57348,Magister,0,Mendaki Gunung,2612,Pinggiran Kota,255,207,Gugur,0,0,Pantai
26,Non-Biner,41906,Magister,8,Mendaki Gunung,1294,Pedesaan,162,116,Semi,1,1,Pantai
43,Non-Biner,78685,Sarjana,7,Ski,4175,Perkotaan,171,231,Semi,0,0,Gunung
64,Laki-Laki,88004,Magister,3,Berjemur,717,Perkotaan,296,175,Panas,1,0,Pantai
39,Laki-Laki,110828,Magister,3,Ski,1014,Pinggiran Kota,287,293,Dingin,0,1,Gunung
64,Perempuan,60334,Sarjana,6,Mendaki Gunung,2205,Pinggiran Kota,242,291,Panas,0,1,Gunung
47,Non-Biner,31353,Sarjana,2,Renang,843,Perkotaan,214,205,Dingin,0,1,Pantai
60,Non-Biner,51301,SMA/Setingkat,9,Ski,3853,Pedesaan,143,165,Gugur,1,1,Gunung
65,Perempuan,117882,SMA/Setingkat,4,Mendaki Gunung,636,Pedesaan,42,108,Panas,0,0,Gunung
34,Laki-Laki,55595,Doktor,6,Mendaki Gunung,2436,Pedesaan,214,50,Dingin,1,1,Pantai
43,Non-Biner,93199,Sarjana,3,Ski,4756,Pedesaan,181,9,Dingin,1,1,Pantai
53,Perempuan,77688,Magister,8,Renang,2118,Pedesaan,18,287,Dingin,0,0,Pantai
18,Laki-Laki,36817,Magister,9,Ski,3451,Pedesaan,54,207,Panas,0,0,Gunung
25,Perempuan,22413,Doktor,6,Renang,1266,Pedesaan,74,236,Semi,1,1,Pantai
66,Perempuan,54191,Magister,2,Renang,4390,Pinggiran Kota,30,211,Panas,1,1,Pantai
52,Laki-Laki,59106,Doktor,7,Mendaki Gunung,1331,Pedesaan,11,221,Semi,0,1,Gunung
69,Non-Biner,92693,Sarjana,9,Berjemur,1837,Perkotaan,110,99,Semi,1,1,Pantai
32,Laki-Laki,99661,SMA/Setingkat,1,Mendaki Gunung,2744,Perkotaan,205,242,Panas,0,0,Gunung
64,Non-Biner,88182,Magister,5,Renang,1179,Perkotaan,157,22,Gugur,1,0,Pantai
39,Laki-Laki,56927,SMA/Setingkat,3,Berjemur,2369,Pinggiran Kota,130,245,Dingin,0,0,Pantai
31,Non-Biner,105693,SMA/Setingkat,4,Renang,4524,Perkotaan,1,273,Dingin,0,1,Pantai
43,Non-Biner,40432,Doktor,9,Ski,4544,Pedesaan,123,18,Gugur,0,1,Pantai
45,Perempuan,110805,Magister,3,Renang,3431,Pedesaan,257,296,Panas,0,0,Pantai
40,Perempuan,107476,SMA/Setingkat,9,Berjemur,2067,Pinggiran Kota,31,274,Semi,1,0,Pantai
31,Non-Biner,57102,SMA/Setingkat,1,Ski,4863,Perkotaan,296,5,Panas,0,0,Pantai
41,Laki-Laki,73387,SMA/Setingkat,1,Mendaki Gunung,3788,Pedesaan,143,81,Semi,0,1,Pantai
19,Non-Biner,50671,SMA/Setingkat,8,Berjemur,1241,Pinggiran Kota,4,244,Gugur,0,0,Pantai
62,Laki-Laki,22597,Doktor,3,Mendaki Gunung,1242,Pinggiran Kota,211,160,Semi,1,1,Pantai
43,Non-Biner,23405,Doktor,3,Ski,796,Pinggiran Kota,173,160,Semi,0,1,Pantai
31,Laki-Laki,112250,Doktor,0,Mendaki Gunung,649,Pinggiran Kota,202,182,Gugur,1,1,Pantai
68,Perempuan,37058,Sarjana,9,Berjemur,1956,Perkotaan,222,12,Gugur,1,1,Pantai
24,Laki-Laki,113381,Doktor,5,Renang,1222,Pinggiran Kota,196,245,Dingin,0,1,Pantai
20,Perempuan,48121,SMA/Setingkat,8,Ski,1260,Perkotaan,105,178,Semi,1,0,Gunung
64,Laki-Laki,85990,Magister,7,Ski,4847,Pinggiran Kota,43,92,Panas,1,0,Gunung
40,Perempuan,119685,SMA/Setingkat,9,Mendaki Gunung,4348,Pinggiran Kota,293,153,Semi,1,0,Pantai
63,Laki-Laki,45419,Sarjana,8,Ski,2680,Perkotaan,249,5,Dingin,0,1,Pantai
60,Non-Biner,119600,Magister,0,Ski,1464,Pedesaan,83,237,Panas,1,1,Gunung
64,Laki-Laki,103860,Doktor,6,Renang,3744,Pedesaan,263,16,Gugur,0,0,Pantai
62,Perempuan,50196,SMA/Setingkat,0,Berjemur,4821,Perkotaan,130,6,Dingin,0,1,Pantai
35,Perempuan,97893,Sarjana,1,Mendaki Gunung,2260,Pedesaan,1,157,Semi,1,0,Gunung
55,Laki-Laki,113998,Sarjana,1,Renang,2225,Perkotaan,60,164,Semi,1,1,Pantai
52,Non-Biner,63940,Sarjana,2,Berjemur,553,Pedesaan,72,118,Gugur,0,1,Pantai
68,Laki-Laki,68088,Doktor,2,Mendaki Gunung,3761,Pedesaan,41,99,Panas,0,0,Gunung
32,Laki-Laki,79274,Sarjana,3,Renang,1780,Pinggiran Kota,232,213,Panas,1,1,Pantai
42,Perempuan,119336,Magister,5,Mendaki Gunung,2918,Pedesaan,129,43,Semi,0,0,Pantai
54,Non-Biner,84195,Doktor,3,Renang,510,Pedesaan,207,50,Semi,1,1,Pantai
45,Non-Biner,49698,Magister,6,Renang,841,Perkotaan,270,258,Semi,0,0,Pantai
27,Non-Biner,53036,Sarjana,3,Berjemur,541,Pedesaan,113,246,Dingin,1,1,Pantai
56,Non-Biner,113189,Doktor,9,Berjemur,2193,Perkotaan,49,277,Semi,0,0,Pantai
34,Laki-Laki,36768,Magister,8,Berjemur,4069,Pedesaan,8,135,Panas,1,1,Pantai
56,Non-Biner,90889,Doktor,1,Berjemur,4685,Perkotaan,135,20,Dingin,1,0,Pantai
39,Non-Biner,24996,Doktor,0,Ski,752,Pedesaan,4,147,Panas,1,1,Gunung
43,Non-Biner,54369,Magister,6,Renang,1318,Pedesaan,94,71,Gugur,0,0,Pantai
61,Perempuan,45557,Sarjana,6,Berjemur,4011,Pinggiran Kota,68,189,Panas,0,0,Pantai
42,Perempuan,95871,Magister,1,Renang,3627,Pedesaan,241,208,Panas,0,0,Pantai
34,Perempuan,61084,Doktor,7,Berjemur,4905,Pinggiran Kota,129,75,Semi,1,0,Pantai
30,Non-Biner,117789,Sarjana,4,Berjemur,1730,Pedesaan,184,291,Semi,0,0,Pantai
37,Laki-Laki,47569,Doktor,0,Ski,1102,Pinggiran Kota,106,226,Semi,0,0,Gunung
42,Laki-Laki,26150,Magister,2,Ski,2997,Perkotaan,278,163,Panas,0,0,Pantai
21,Perempuan,46900,SMA/Setingkat,9,Mendaki Gunung,1037,Pedesaan,19,129,Semi,0,0,Gunung
27,Perempuan,105940,SMA/Setingkat,5,Mendaki Gunung,4084,Pedesaan,169,249,Panas,0,1,Gunung
20,Non-Biner,93920,SMA/Setingkat,2,Renang,3948,Perkotaan,111,175,Panas,1,1,Pantai
58,Perempuan,87743,Magister,3,Berjemur,2801,Pedesaan,73,85,Semi,0,1,Pantai
62,Perempuan,56447,Doktor,1,Renang,2998,Pinggiran Kota,150,227,Dingin,1,0,Pantai
35,Perempuan,25577,Doktor,7,Berjemur,501,Pinggiran Kota,297,87,Semi,1,1,Pantai
64,Perempuan,24342,SMA/Setingkat,7,Ski,2295,Pedesaan,22,222,Panas,0,1,Gunung
53,Laki-Laki,56869,Magister,3,Berjemur,891,Pedesaan,275,95,Panas,1,1,Pantai
64,Non-Biner,20552,SMA/Setingkat,7,Berjemur,775,Pinggiran Kota,208,185,Gugur,0,1,Pantai
39,Laki-Laki,71232,SMA/Setingkat,6,Mendaki Gunung,4062,Perkotaan,48,59,Semi,0,1,Gunung
51,Perempuan,27113,Sarjana,5,Mendaki Gunung,1432,Pedesaan,17,206,Gugur,1,0,Gunung
64,Non-Biner,119607,SMA/Setingkat,2,Mendaki Gunung,2140,Pedesaan,114,152,Semi,1,1,Gunung
25,Non-Biner,72830,Magister,7,Berjemur,2957,Perkotaan,116,92,Dingin,1,0,Pantai
57,Laki-Laki,64939,Doktor,1,Berjemur,1112,Pedesaan,70,78,Gugur,1,0,Pantai
66,Laki-Laki,39434,SMA/Setingkat,3,Renang,3063,Pinggiran Kota,12,28,Dingin,1,0,Pantai
61,Perempuan,52676,Magister,4,Mendaki Gunung,2272,Pinggiran Kota,80,183,Panas,0,0,Gunung
36,Laki-Laki,65810,Doktor,4,Berjemur,3003,Perkotaan,217,108,Semi,0,1,Pantai
59,Perempuan,34441,Sarjana,2,Berjemur,4462,Pedesaan,102,97,Gugur,1,0,Pantai
58,Perempuan,107560,Magister,8,Renang,1880,Pedesaan,29,131,Semi,1,0,Pantai
54,Perempuan,112797,Sarjana,9,Ski,3267,Pedesaan,214,257,Gugur,0,1,Gunung
23,Non-Biner,90722,Sarjana,2,Berjemur,1921,Perkotaan,97,31,Semi,1,0,Pantai
69,Non-Biner,69155,Sarjana,2,Ski,2791,Pedesaan,249,179,Panas,0,0,Pantai
43,Laki-Laki,48725,Sarjana,0,Berjemur,1996,Pedesaan,144,295,Dingin,1,0,Pantai
51,Laki-Laki,109428,SMA/Setingkat,2,Renang,2204,Pedesaan,95,257,Gugur,1,0,Pantai
62,Non-Biner,58021,Magister,7,Ski,2116,Perkotaan,297,218,Dingin,0,1,Pantai
23,Laki-Laki,72673,Doktor,7,Renang,2260,Perkotaan,6,283,Gugur,0,0,Pantai
54,Perempuan,64964,SMA/Setingkat,8,Berjemur,3391,Perkotaan,19,178,Gugur,1,0,Pantai
50,Perempuan,41459,Doktor,6,Ski,1275,Perkotaan,294,138,Gugur,0,0,Pantai
39,Non-Biner,110156,Doktor,3,Ski,2551,Perkotaan,262,54,Dingin,1,1,Pantai
38,Laki-Laki,49920,Doktor,3,Renang,1484,Perkotaan,277,229,Gugur,1,0,Pantai
23,Laki-Laki,72877,Doktor,5,Renang,1244,Perkotaan,118,96,Semi,0,0,Pantai
23,Non-Biner,104819,Doktor,4,Mendaki Gunung,3372,Pinggiran Kota,203,83,Panas,0,0,Pantai
